Ref,Val,Package,PosX,PosY,Rot,Side
D1,SP0503BAHT,SOT-143,42.028556,-52.94061,0,top
D2,LED(Orange),LED_0805_2012Metric,1.502556,-28.99861,0,top
D3,LED(Red),LED_0805_2012Metric,-12.321444,-104.94461,0,top
D4,LED(Green),LED_0805_2012Metric,-12.321444,-109.48061,0,top
D5,LED(Red),LED_0805_2012Metric,-12.321444,-107.23061,0,top
D6,SS34LW_RVG,SODFL3718X102N,-13.538944,-121.20061,90,top
D7,SS34LW_RVG,SODFL3718X102N,-15.261444,-132.37661,180,top
D8,LED(Green),LED_0805_2012Metric,20.044556,-58.20861,180,top
D9,SS34LW_RVG,SODFL3718X102N,30.204556,-102.88861,180,top
D10,LED(Red),LED_0805_2012Metric,30.712556,-72.75061,-90,top
D11,LED(Orange),LED_0805_2012Metric,-28.207444,5.01239,0,top
